timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,name
1651568400,2416548,2397338,54,44,Abyssal whip
1651546800,2418154,2386742,91,49,Abyssal whip
1651525200,2426390,2401592,115,136,Abyssal whip
1651503600,2432314,2412554,91,71,Abyssal whip
1651482000,2431443,2411922,39,38,Abyssal whip
1651460400,2441598,2408027,96,113,Abyssal whip
1651438800,2437877,2408246,116,108,Abyssal whip
1651417200,2443771,2416445,172,98,Abyssal whip
1651395600,2450159,2434298,34,40,Abyssal whip
1651374000,2462782,2439631,95,88,Abyssal whip
1651352400,2453133,2434536,95,111,Abyssal whip
1651330800,2473454,2450296,89,67,Abyssal whip
1651309200,2465738,2431849,48,53,Abyssal whip
1651287600,2468705,2439564,112,100,Abyssal whip
1651266000,2430205,2400791,136,164,Abyssal whip
1651244400,2472664,2467285,31,103,Abyssal whip
1651222800,2470301,2451587,37,32,Abyssal whip
1651201200,2482417,2460794,103,70,Abyssal whip
1651179600,2481043,2459620,141,103,Abyssal whip
1651158000,2469464,2453335,67,59,Abyssal whip
1651136400,2470715,2452680,46,39,Abyssal whip
1651114800,2465992,2452648,54,56,Abyssal whip
1651093200,2465951,2454451,83,89,Abyssal whip
1651071600,2489936,2451723,97,105,Abyssal whip
1651050000,2493441,2466070,42,38,Abyssal whip
1651028400,2482175,2454680,78,80,Abyssal whip
1651006800,2485530,2455254,105,90,Abyssal whip
1650985200,2437666,2423378,70,77,Abyssal whip
1650963600,2477091,2444451,39,79,Abyssal whip
1650942000,2463418,2430366,76,73,Abyssal whip
1650920400,2441638,2424708,121,105,Abyssal whip
1650898800,2428086,2411170,78,57,Abyssal whip
1650877200,2430887,2410723,53,50,Abyssal whip
1650855600,2440157,2410447,75,92,Abyssal whip
1650834000,2442016,2415359,159,175,Abyssal whip
1650812400,2441181,2413825,114,89,Abyssal whip
1650790800,2444608,2414513,53,56,Abyssal whip
1650769200,2464710,2431447,45,87,Abyssal whip
1650747600,2460762,2434415,45,116,Abyssal whip
1650726000,2463331,2432613,91,81,Abyssal whip
1650704400,2475101,2456603,79,55,Abyssal whip
1650682800,2491747,2460437,92,69,Abyssal whip
1650661200,2470889,2424290,125,121,Abyssal whip
1650639600,2496288,2452624,69,108,Abyssal whip
1650596400,2520322,2493168,95,72,Abyssal whip
1650574800,2509885,2483481,81,248,Abyssal whip
1650553200,2526056,2496591,83,63,Abyssal whip
1650531600,2534561,2506332,56,38,Abyssal whip
1650510000,2525954,2503372,69,77,Abyssal whip
1650488400,2536817,2503481,175,112,Abyssal whip
1650466800,2539810,2503326,62,59,Abyssal whip
1650445200,2547807,2516160,49,61,Abyssal whip
1650423600,2548259,2523298,64,75,Abyssal whip
1650402000,2553481,2528550,90,94,Abyssal whip
1650380400,2564869,2531401,70,79,Abyssal whip
1650358800,2551566,2522255,37,37,Abyssal whip
1650337200,2566020,2539686,42,82,Abyssal whip
1650315600,2564817,2541046,92,131,Abyssal whip
1650294000,2569704,2538320,69,76,Abyssal whip
1650272400,2592363,2561672,47,52,Abyssal whip
1650250800,2583224,2548153,95,96,Abyssal whip
1650229200,2591953,2559739,101,138,Abyssal whip
1650207600,2607814,2587767,108,69,Abyssal whip
1650186000,2603619,2584144,32,57,Abyssal whip
1650164400,2613438,2586067,99,89,Abyssal whip
1650142800,2607974,2583052,124,112,Abyssal whip
1650121200,2605048,2577440,85,75,Abyssal whip
1650099600,2624408,2608464,29,40,Abyssal whip
1650078000,2628728,2599650,74,77,Abyssal whip
1650056400,2640100,2609304,114,77,Abyssal whip
1650034800,2640374,2621501,45,74,Abyssal whip
1650013200,2660343,2628677,47,66,Abyssal whip
1649991600,2661793,2633012,78,80,Abyssal whip
1649970000,2658949,2632469,72,91,Abyssal whip
1649948400,2661048,2635508,78,77,Abyssal whip
1649926800,2673779,2647061,39,20,Abyssal whip
1649905200,2681897,2650217,74,82,Abyssal whip
1649883600,2668873,2635377,68,85,Abyssal whip
1649862000,2699420,2667992,87,48,Abyssal whip
1649840400,2706486,2668189,76,47,Abyssal whip
1649818800,2710773,2685581,89,64,Abyssal whip
1649797200,2705400,2674896,96,94,Abyssal whip
1649775600,2712280,2684647,64,67,Abyssal whip
1649754000,2723395,2693758,38,39,Abyssal whip
1649732400,2711394,2690287,43,81,Abyssal whip
1649710800,2718402,2687605,94,101,Abyssal whip
1649689200,2722854,2706750,34,78,Abyssal whip
1649667600,2730205,2704895,53,45,Abyssal whip
1649646000,2727520,2704519,55,85,Abyssal whip
1649624400,2736127,2711512,119,103,Abyssal whip
1649602800,2733470,2712389,94,99,Abyssal whip
1649581200,2731035,2698932,57,69,Abyssal whip
1649559600,2735810,2712535,76,99,Abyssal whip
1649538000,2748935,2720821,145,120,Abyssal whip
1649516400,2731708,2715709,54,71,Abyssal whip
1649494800,2748939,2724457,64,49,Abyssal whip
1649473200,2736946,2720206,50,82,Abyssal whip
1649451600,2740867,2715433,110,70,Abyssal whip
1649430000,2744435,2716854,73,62,Abyssal whip
1649408400,2750336,2710603,54,31,Abyssal whip
1649386800,2742817,2707151,80,84,Abyssal whip
1649365200,2739830,2711043,67,57,Abyssal whip
1649343600,2738812,2708390,67,62,Abyssal whip
1649322000,2758893,2736381,36,33,Abyssal whip
1649300400,2775325,2745650,68,67,Abyssal whip
1649278800,2750924,2729862,58,107,Abyssal whip
1649257200,2763608,2742987,80,76,Abyssal whip
1649235600,2766092,2742943,23,38,Abyssal whip
1649214000,2743964,2741097,44,77,Abyssal whip
1649192400,2722440,2689117,71,85,Abyssal whip
1649170800,2755630,2742990,77,62,Abyssal whip
1649149200,2774027,2753518,30,20,Abyssal whip
1649127600,2758645,2740830,31,77,Abyssal whip
1649106000,2755237,2744011,108,78,Abyssal whip
1649084400,2768782,2752113,74,50,Abyssal whip
1649062800,2760190,2739378,33,24,Abyssal whip
1649041200,2766190,2744732,74,78,Abyssal whip
1649019600,2761519,2744295,53,76,Abyssal whip
1648998000,2790336,2760337,82,87,Abyssal whip
1648976400,2766148,2741989,51,98,Abyssal whip
1648954800,2762676,2741941,95,95,Abyssal whip
1648933200,2762527,2743592,76,86,Abyssal whip
1648911600,2760648,2744741,68,61,Abyssal whip
1648890000,2768243,2749765,29,39,Abyssal whip
1648868400,2773129,2746325,85,72,Abyssal whip
1648846800,2766649,2746265,164,103,Abyssal whip
1648825200,2773258,2741779,69,57,Abyssal whip
1648803600,2784675,2749184,54,30,Abyssal whip
1648782000,2783861,2748721,113,74,Abyssal whip
1648760400,2783159,2760478,67,66,Abyssal whip
1648738800,2800856,2766265,59,64,Abyssal whip
1648717200,2792718,2765549,30,58,Abyssal whip
1648695600,2803455,2766071,63,72,Abyssal whip
1648674000,2806136,2774450,75,86,Abyssal whip
1648652400,2817670,2795918,91,95,Abyssal whip
1648630800,2829570,2803205,49,29,Abyssal whip
1648609200,2802013,2778330,111,78,Abyssal whip
1648587600,2811065,2792871,64,81,Abyssal whip
1648566000,2839774,2810886,58,116,Abyssal whip
1648544400,2845714,2823051,51,36,Abyssal whip
1648522800,2855473,2826012,56,85,Abyssal whip
1648501200,2858954,2818597,99,83,Abyssal whip
1648479600,2846317,2812160,64,66,Abyssal whip
1648458000,2883509,2859121,40,39,Abyssal whip
1648436400,2872894,2845809,50,79,Abyssal whip
1648414800,2874835,2865444,91,95,Abyssal whip
1648393200,2902501,2881498,88,98,Abyssal whip
1648371600,2909661,2884141,49,53,Abyssal whip
1648350000,2909523,2879879,89,81,Abyssal whip
1648328400,2887199,2853665,126,123,Abyssal whip
1648306800,2903196,2874531,70,72,Abyssal whip
1648285200,2901143,2871082,19,40,Abyssal whip
1648263600,2911633,2880419,87,75,Abyssal whip
1648242000,2904489,2881067,71,120,Abyssal whip
1648220400,2895419,2869759,92,54,Abyssal whip
1648198800,2896357,2880982,49,32,Abyssal whip
1648177200,2898114,2869181,103,82,Abyssal whip
1648155600,2902538,2871534,78,92,Abyssal whip
1648134000,2896602,2874331,47,69,Abyssal whip
1648112400,2903913,2872614,32,38,Abyssal whip
1648090800,2882036,2839082,89,76,Abyssal whip
1648069200,2919027,2895579,83,77,Abyssal whip
1648026000,2935974,2900411,35,55,Abyssal whip
1648004400,2929900,2893147,75,45,Abyssal whip
1647982800,2931209,2899269,99,72,Abyssal whip
1647961200,2950773,2923472,39,76,Abyssal whip
1647939600,2938479,2919764,57,32,Abyssal whip
1647918000,2940490,2908270,63,76,Abyssal whip
1647896400,2966536,2944620,72,109,Abyssal whip
1647874800,2969764,2933930,68,81,Abyssal whip
1647853200,2985336,2962418,39,33,Abyssal whip
1647831600,2972926,2948799,63,60,Abyssal whip
1647810000,2964665,2942288,101,71,Abyssal whip
1647788400,2973931,2950789,58,163,Abyssal whip
1647766800,2985113,2961816,53,64,Abyssal whip
1647745200,3005250,2970449,120,113,Abyssal whip
1647723600,2984355,2940398,136,101,Abyssal whip
1647702000,3000489,2969197,82,73,Abyssal whip
1647680400,3044549,3010817,44,71,Abyssal whip
1647658800,3123225,3079615,85,75,Abyssal whip
1647637200,3002299,2969523,109,114,Abyssal whip
1647615600,3000112,2967360,116,52,Abyssal whip
1647594000,2990681,2959306,29,67,Abyssal whip
1647572400,3027048,2990599,104,75,Abyssal whip
1647550800,3054199,3023883,54,91,Abyssal whip
1647529200,3091139,3052853,66,75,Abyssal whip
1647507600,3047900,3004754,46,52,Abyssal whip
1647486000,2989639,2946739,136,81,Abyssal whip
1647464400,2997731,2964093,152,114,Abyssal whip
1647442800,,2701001,0,4,Abyssal whip
1647421200,2689958,2658382,31,30,Abyssal whip
1647399600,2734033,2703527,59,53,Abyssal whip
1647378000,2776069,2746536,96,76,Abyssal whip
1647356400,2770486,2735677,68,85,Abyssal whip
1647334800,2776287,2744767,30,38,Abyssal whip
1647313200,2817667,2789931,88,92,Abyssal whip
1647291600,2799715,2761384,101,91,Abyssal whip
1647270000,2709957,2676905,64,99,Abyssal whip
1647248400,2701022,2679650,29,25,Abyssal whip
1647226800,2694084,2660160,95,73,Abyssal whip
1647205200,2698931,2671391,117,108,Abyssal whip
1647183600,2691627,2659221,99,82,Abyssal whip
1647162000,2700029,2673295,29,61,Abyssal whip
1647140400,2705228,2666489,96,94,Abyssal whip
1647118800,2746042,2708253,122,88,Abyssal whip
1647097200,2771026,2733487,68,82,Abyssal whip
1647075600,2780959,2765863,44,44,Abyssal whip
1647054000,2799161,2756899,91,112,Abyssal whip
1647032400,2742917,2724825,63,118,Abyssal whip
1647010800,2689667,2657258,48,79,Abyssal whip
1646989200,2588787,2560990,44,36,Abyssal whip
1646967600,2584219,2567271,69,157,Abyssal whip
1646946000,2593329,2559836,46,102,Abyssal whip
1646924400,2557448,2531554,70,72,Abyssal whip
1646902800,2416187,2391270,39,45,Abyssal whip
1646881200,2411542,2382812,115,110,Abyssal whip
1646859600,2417275,2385967,69,105,Abyssal whip
1646838000,2412353,2381633,76,64,Abyssal whip
1646816400,2415776,2390504,40,56,Abyssal whip
1646794800,2430793,2405108,59,70,Abyssal whip
1646773200,2368592,2345917,80,78,Abyssal whip
1646751600,2362284,2343957,31,92,Abyssal whip
1646730000,2366061,2345299,48,35,Abyssal whip
1646708400,2378620,2353493,165,75,Abyssal whip
1646686800,2385775,2359334,153,82,Abyssal whip
1646665200,2372492,2349690,43,54,Abyssal whip
1646643600,2365917,2346698,41,51,Abyssal whip
1646622000,2374463,2352463,46,57,Abyssal whip
1646600400,2374828,2350820,82,126,Abyssal whip
1646578800,2374170,2346287,87,59,Abyssal whip
1646557200,2372023,2348624,46,39,Abyssal whip
1646535600,2384436,2355127,78,72,Abyssal whip
1646514000,2381430,2351611,95,82,Abyssal whip
1646492400,2377741,2352285,96,70,Abyssal whip
1646470800,2399090,2378663,20,42,Abyssal whip
1646449200,2404847,2373692,109,86,Abyssal whip
1646427600,2457803,2427115,90,97,Abyssal whip
1646406000,2363514,2345679,48,45,Abyssal whip
1646384400,2351579,2327766,38,52,Abyssal whip
1646362800,2351441,2333173,66,82,Abyssal whip
1646341200,2344682,2317407,24,77,Abyssal whip
1646319600,2346929,2323184,51,42,Abyssal whip
1646298000,2350505,2328732,40,45,Abyssal whip
1646276400,2417003,2379561,55,105,Abyssal whip
1646254800,2349619,2326529,52,110,Abyssal whip
1646233200,2330724,2321635,41,58,Abyssal whip
1646211600,2356659,2333588,28,70,Abyssal whip
1646190000,2337957,2311947,82,75,Abyssal whip
1646168400,2322244,2298968,104,118,Abyssal whip
1646146800,2308111,2292501,13,66,Abyssal whip
1646125200,2354352,2324209,26,44,Abyssal whip
1646103600,2338309,2309065,89,87,Abyssal whip
1646082000,2303410,2287481,41,76,Abyssal whip
1646060400,2313662,2295470,56,53,Abyssal whip
1646038800,2312973,2287301,40,34,Abyssal whip
1646017200,2343913,2309693,79,75,Abyssal whip
1645995600,2297583,2274021,88,96,Abyssal whip
1645974000,2316559,2295839,36,57,Abyssal whip
1645952400,2298002,2279276,36,35,Abyssal whip
1645930800,2326450,2286647,84,86,Abyssal whip
1645909200,2312842,2288603,101,81,Abyssal whip
1645887600,2289512,2276430,31,66,Abyssal whip
1645866000,2318105,2288164,40,37,Abyssal whip
1645844400,2296387,2273017,53,69,Abyssal whip
1645822800,2285148,2264618,115,98,Abyssal whip
1645801200,2288020,2271859,75,65,Abyssal whip
1645779600,2344211,2309932,37,35,Abyssal whip
1645758000,2294380,2259970,84,70,Abyssal whip
1645736400,2318006,2278722,99,125,Abyssal whip
1645714800,2269244,2244039,50,52,Abyssal whip
1645693200,2274299,2243295,25,42,Abyssal whip
1645671600,2241741,2223387,75,64,Abyssal whip
1645650000,2243481,2230280,41,97,Abyssal whip
1645628400,2246663,2227496,45,56,Abyssal whip
1645606800,2251001,2229170,46,36,Abyssal whip
1645585200,2252730,2230413,77,68,Abyssal whip
1645563600,2244188,2224127,74,78,Abyssal whip
1645542000,2256455,2241332,83,101,Abyssal whip
1645520400,2256947,2235899,39,33,Abyssal whip
1645498800,2253857,2232109,93,98,Abyssal whip
1645477200,2253060,2224615,133,95,Abyssal whip
1645455600,2252807,2230557,63,52,Abyssal whip
1645434000,2264469,2237673,42,28,Abyssal whip
1645412400,2266322,2240882,79,94,Abyssal whip
1645390800,2268511,2252574,75,89,Abyssal whip
1645369200,2276658,2243466,107,63,Abyssal whip
1645347600,2276134,2262352,50,45,Abyssal whip
1645326000,2282741,2252980,99,74,Abyssal whip
1645304400,2278008,2249698,91,76,Abyssal whip
1645282800,2279554,2260497,97,70,Abyssal whip
1645261200,2287522,2263026,52,48,Abyssal whip
1645239600,2290910,2265578,82,79,Abyssal whip
1645218000,2290724,2266835,91,85,Abyssal whip
1645196400,2292720,2274262,100,52,Abyssal whip
1645174800,2295655,2279812,53,42,Abyssal whip
1645153200,2300223,2282758,51,130,Abyssal whip
1645131600,2308876,2291127,61,119,Abyssal whip
1645110000,2315592,2285856,61,57,Abyssal whip
1645088400,2315882,2283592,11,53,Abyssal whip
1645066800,2270057,2267168,43,87,Abyssal whip
1645045200,2315573,2283669,78,94,Abyssal whip
1645023600,2314510,2279236,51,72,Abyssal whip
1645002000,2314074,2280955,36,26,Abyssal whip
1644980400,2306589,2267821,75,91,Abyssal whip
1644958800,2267138,2243032,105,79,Abyssal whip
1644937200,2243629,2226312,49,59,Abyssal whip
1644915600,2244274,2235837,47,46,Abyssal whip
1644894000,2249703,2225968,81,91,Abyssal whip
1644872400,2245770,2219575,54,134,Abyssal whip
1644850800,2255388,2234477,35,81,Abyssal whip
1644829200,2255666,2227332,38,47,Abyssal whip
1644807600,2269871,2238131,67,144,Abyssal whip
1644786000,2245164,2219797,53,127,Abyssal whip
1644764400,2215872,2212288,35,95,Abyssal whip
1644742800,2243361,2218596,43,50,Abyssal whip
1644721200,2215042,2193054,100,84,Abyssal whip
1644699600,2208876,2187617,121,113,Abyssal whip
1644678000,2224228,2197874,92,73,Abyssal whip
1644656400,2237241,2195146,4,39,Abyssal whip
1644634800,2226876,2195168,87,97,Abyssal whip
1644613200,2221093,2192928,55,103,Abyssal whip
1644591600,2216542,2176475,16,82,Abyssal whip
1644570000,2195342,2166178,35,67,Abyssal whip
1644548400,2177542,2151608,104,101,Abyssal whip
1644526800,2167890,2151857,57,98,Abyssal whip
1644505200,2163407,2143347,71,100,Abyssal whip
1644483600,2165517,2145447,41,34,Abyssal whip
1644462000,2166956,2147705,30,59,Abyssal whip
1644440400,2165149,2141903,49,141,Abyssal whip
1644418800,2166237,2137802,45,69,Abyssal whip
1644397200,2172828,2151525,34,29,Abyssal whip
1644375600,2173688,2159895,87,68,Abyssal whip
1644354000,2170249,2161555,78,82,Abyssal whip
1644332400,2170256,2156344,63,67,Abyssal whip
1644310800,2183391,2165111,29,52,Abyssal whip
1644289200,2172617,2160652,55,76,Abyssal whip
1644267600,2173175,2155870,80,109,Abyssal whip
1644246000,2180511,2159598,105,55,Abyssal whip
1644224400,2170580,2155807,54,44,Abyssal whip
1644202800,2171919,2152439,113,89,Abyssal whip
1644181200,2169000,2147186,104,118,Abyssal whip
1644159600,2196229,2165781,104,141,Abyssal whip
1644138000,2177072,2157158,37,61,Abyssal whip
1644116400,2178296,2148522,135,172,Abyssal whip
1644094800,2171170,2138480,156,148,Abyssal whip
1644073200,2185963,2158358,70,83,Abyssal whip
1644051600,2180633,2153220,41,64,Abyssal whip
1644030000,2159663,2130631,129,97,Abyssal whip
1644008400,2093768,2071524,118,164,Abyssal whip
1643986800,2120597,2088835,75,107,Abyssal whip
1643965200,2138445,2098895,41,39,Abyssal whip
1643943600,2116585,2071801,74,102,Abyssal whip
1643922000,2084590,2056532,111,123,Abyssal whip
1643900400,2078568,2061486,71,86,Abyssal whip
1643878800,2099119,2070518,38,36,Abyssal whip
1643857200,2058630,2041441,72,90,Abyssal whip
1643835600,2074900,2051029,122,75,Abyssal whip
1643814000,2049154,2036516,28,66,Abyssal whip
1643792400,2013886,1994551,35,65,Abyssal whip
1643770800,2050077,2030943,100,96,Abyssal whip
1643749200,2062456,2045313,123,86,Abyssal whip
1643727600,2053591,2024449,75,73,Abyssal whip
1643706000,2054825,2031461,37,35,Abyssal whip
1643684400,2055177,2028921,110,76,Abyssal whip
1643662800,2057513,2035204,83,107,Abyssal whip
1643641200,2060691,2034366,77,75,Abyssal whip
1643619600,2065434,2044901,58,50,Abyssal whip
1643598000,2061935,2035599,80,81,Abyssal whip
1643576400,2071739,2045540,105,122,Abyssal whip
1643554800,2075727,2066471,56,140,Abyssal whip
1643533200,2101072,2073369,63,56,Abyssal whip
1643511600,2102086,2070766,94,120,Abyssal whip
1643490000,2062722,2036918,102,128,Abyssal whip
1643468400,2059695,2037940,90,68,Abyssal whip
1643446800,2050747,2027655,35,39,Abyssal whip
1643425200,2075513,2049132,81,116,Abyssal whip
1643403600,2083695,2052567,84,139,Abyssal whip
1643382000,2055504,2034742,69,83,Abyssal whip
1643360400,2083870,2046454,56,66,Abyssal whip
1643338800,2038524,2018703,92,63,Abyssal whip
1643317200,2026873,2013838,51,109,Abyssal whip
1643295600,2037773,2011912,10,2,Abyssal whip
1643274000,2033774,2018702,38,48,Abyssal whip
1643252400,2047249,2020660,91,140,Abyssal whip
1643230800,2015016,2004192,87,75,Abyssal whip
1643209200,2021628,2003811,77,72,Abyssal whip
1643187600,2014387,1993500,44,42,Abyssal whip
1643166000,2019336,1994968,91,86,Abyssal whip
