timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,name
1621328400,2011989,2008683,116,117,Abyssal whip
1621306800,2017660,2013377,163,131,Abyssal whip
1621285200,2015651,2013065,157,197,Abyssal whip
1621263600,2005925,2002852,53,102,Abyssal whip
1621242000,2007841,2004545,94,109,Abyssal whip
1621220400,2019106,2014656,100,149,Abyssal whip
1621198800,2019833,2014881,182,240,Abyssal whip
1621177200,2021443,2013554,179,204,Abyssal whip
1621155600,2013182,2009051,91,77,Abyssal whip
1621134000,2041003,2033665,191,134,Abyssal whip
1621112400,2033628,2029891,284,225,Abyssal whip
1621090800,2030989,2024787,173,164,Abyssal whip
1621069200,2015186,2003262,80,76,Abyssal whip
1621047600,2070256,2065746,125,145,Abyssal whip
1621026000,2060518,2054430,211,181,Abyssal whip
1621004400,2039930,2037960,128,167,Abyssal whip
1620982800,2064600,2062329,102,136,Abyssal whip
1620961200,2077009,2072078,189,214,Abyssal whip
1620939600,2120019,2112314,218,136,Abyssal whip
1620918000,2103105,2098383,127,194,Abyssal whip
1620896400,2067242,2064923,80,73,Abyssal whip
1620874800,2150268,2142724,195,186,Abyssal whip
1620853200,2157581,2168797,182,191,Abyssal whip
1620831600,2169093,2165133,38,121,Abyssal whip
1620810000,2171418,2163650,30,33,Abyssal whip
1620788400,2166646,2162323,146,177,Abyssal whip
1620766800,2166260,2163747,219,207,Abyssal whip
1620745200,2179143,2175896,128,134,Abyssal whip
1620723600,2172193,2166904,79,61,Abyssal whip
1620702000,2182072,2176947,115,209,Abyssal whip
1620680400,2171058,2162401,69,236,Abyssal whip
1620658800,2151532,2146404,187,128,Abyssal whip
1620637200,2151919,2148670,25,77,Abyssal whip
1620615600,2186251,2172900,135,227,Abyssal whip
1620594000,2210403,2207815,135,182,Abyssal whip
1620572400,2237213,2233803,111,181,Abyssal whip
1620550800,2147387,2144677,40,87,Abyssal whip
1620529200,2162570,2154990,166,120,Abyssal whip
1620507600,2143136,2140930,143,250,Abyssal whip
1620486000,2142771,2137603,74,144,Abyssal whip
1620464400,2155918,2152130,66,87,Abyssal whip
1620442800,2165081,2160853,140,199,Abyssal whip
1620421200,2143164,2137667,193,190,Abyssal whip
1620399600,2141045,2136408,141,132,Abyssal whip
1620378000,2145802,2143129,80,102,Abyssal whip
1620356400,2151520,2149401,121,181,Abyssal whip
1620334800,2155058,2150341,210,214,Abyssal whip
1620313200,2137198,2133134,158,117,Abyssal whip
1620291600,2159829,2154440,60,62,Abyssal whip
1620270000,2149734,2140088,163,199,Abyssal whip
