timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,name
1645207200,2291287,2268160,685,490,Abyssal whip
1645228800,2289788,2262032,607,589,Abyssal whip
1645250400,2288449,2262306,397,332,Abyssal whip
1645272000,2281966,2258093,538,389,Abyssal whip
1645293600,2281199,2255387,583,493,Abyssal whip
1645315200,2280327,2251662,507,489,Abyssal whip
1645336800,2283100,2263336,346,299,Abyssal whip
1645358400,2275880,2247141,474,522,Abyssal whip
1645380000,2265743,2239760,621,574,Abyssal whip
1645401600,2265905,2237718,608,532,Abyssal whip
1645423200,2264576,2236172,262,260,Abyssal whip
1645444800,2256183,2231664,408,420,Abyssal whip
1645466400,2255387,2229702,670,643,Abyssal whip
1645488000,2255101,2229928,684,436,Abyssal whip
1645509600,2257846,2232896,275,223,Abyssal whip
1645531200,2251788,2234999,361,379,Abyssal whip
1645552800,2247647,2226580,383,457,Abyssal whip
1645574400,2250624,2230014,403,466,Abyssal whip
1645596000,2249031,2229909,258,233,Abyssal whip
1645617600,2244533,2222935,425,409,Abyssal whip
1645639200,2247009,2225889,487,538,Abyssal whip
1645660800,2245010,2224099,455,422,Abyssal whip
1645682400,2268185,2241382,227,250,Abyssal whip
1645704000,2269289,2243201,356,382,Abyssal whip
1645725600,2294568,2261107,568,700,Abyssal whip
1645747200,2302101,2269616,435,503,Abyssal whip
1645768800,2335446,2299742,218,341,Abyssal whip
1645790400,2289791,2271558,288,448,Abyssal whip
1645812000,2291355,2268665,614,501,Abyssal whip
1645833600,2294197,2273382,423,453,Abyssal whip
1645855200,2297804,2275597,291,285,Abyssal whip
1645876800,2296546,2277541,297,392,Abyssal whip
1645898400,2305194,2282204,598,630,Abyssal whip
1645920000,2311704,2285847,488,502,Abyssal whip
1645941600,2303871,2283417,316,290,Abyssal whip
1645963200,2309337,2289337,314,448,Abyssal whip
1645984800,2302241,2279687,514,567,Abyssal whip
1646006400,2330146,2303809,478,479,Abyssal whip
1646028000,2317418,2293119,243,295,Abyssal whip
1646049600,2311979,2291504,397,368,Abyssal whip
1646071200,2315885,2294130,512,487,Abyssal whip
1646092800,2328358,2299116,435,423,Abyssal whip
1646114400,2342036,2314897,270,273,Abyssal whip
1646136000,2317624,2295377,204,361,Abyssal whip
1646157600,2323301,2304686,472,550,Abyssal whip
1646179200,2335623,2310476,415,458,Abyssal whip
1646200800,2359963,2322431,29,22,Abyssal whip
1646222400,2362322,2327660,396,417,Abyssal whip
1646244000,2347991,2327002,299,559,Abyssal whip
1646265600,2362249,2339922,309,454,Abyssal whip
1646287200,2349666,2327760,294,246,Abyssal whip
1646308800,2344967,2321994,263,353,Abyssal whip
1646330400,2343645,2318398,387,445,Abyssal whip
1646352000,2347825,2323880,473,357,Abyssal whip
1646373600,2353008,2328514,218,276,Abyssal whip
1646395200,2340266,2347084,280,350,Abyssal whip
1646416800,2420037,2396733,520,613,Abyssal whip
1646438400,2402880,2372112,469,504,Abyssal whip
1646460000,2400762,2384287,295,401,Abyssal whip
1646481600,2383054,2359197,328,322,Abyssal whip
1646503200,2381327,2353312,408,516,Abyssal whip
1646524800,2387056,2357388,283,243,Abyssal whip
1646546400,2374158,2349104,261,264,Abyssal whip
1646568000,2372617,2346111,268,231,Abyssal whip
1646589600,2377610,2348935,440,576,Abyssal whip
1646611200,2374839,2355847,439,392,Abyssal whip
1646632800,2371277,2349717,284,275,Abyssal whip
1646654400,2370668,2350866,332,391,Abyssal whip
1646676000,2372558,2348743,514,502,Abyssal whip
1646697600,2376466,2353283,621,486,Abyssal whip
1646719200,2364866,2342012,308,288,Abyssal whip
1646740800,2369650,2346784,429,375,Abyssal whip
1646762400,2369532,2346804,281,200,Abyssal whip
1646784000,2389507,2365080,390,354,Abyssal whip
1646805600,2416050,2391248,207,227,Abyssal whip
1646827200,2407925,2377624,357,433,Abyssal whip
1646848800,2412296,2381958,466,759,Abyssal whip
1646870400,2412744,2382838,568,584,Abyssal whip
1646892000,2418687,2395159,238,291,Abyssal whip
1646913600,2540784,2527284,346,448,Abyssal whip
1646935200,2592634,2559776,398,586,Abyssal whip
1646956800,2590155,2563845,515,646,Abyssal whip
1646978400,2579103,2548059,269,293,Abyssal whip
1647000000,2665449,2622541,449,417,Abyssal whip
1647021600,2763758,2716982,443,617,Abyssal whip
1647043200,2835529,2796941,451,557,Abyssal whip
1647064800,2795825,2768074,244,313,Abyssal whip
1647086400,2777758,2747035,379,422,Abyssal whip
1647108000,2733434,2699912,645,652,Abyssal whip
1647129600,2707670,2671829,446,531,Abyssal whip
1647151200,2690144,2662358,372,323,Abyssal whip
1647172800,2696911,2667496,539,506,Abyssal whip
1647194400,2698983,2667388,688,613,Abyssal whip
1647216000,2691046,2662238,483,488,Abyssal whip
1647237600,2700156,2676403,221,207,Abyssal whip
