timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,name,update,update1,update2,update3,priceIn6H,Price6H,Volume6H,Price12H,Volume12H,Price18H,Volume18H,Price24H,Volume24H,Price30H,Volume30H,Price36H,Volume36H,Price42H,Volume42H,Price48H,Volume48H,Price54H,Volume54H,Price72H,Volume72H,Price96H,Volume96H,Price120H,Volume120H,Price144H,Volume144H,Nature rune
1645315200,210,208,1344531,1104010,Nature rune,0,0,0,1,209,210,1344531,211,1442544,209,2208483,209,2091457,210,2017458,209,1108676,209,1911699,209,1730020,210,1424489,209,2558876,206,2190522,204,2833867,205,2278374,1
1645336800,211,209,1442544,586726,Nature rune,0,0,0,1,210,211,1442544,209,2208483,209,2091457,210,2017458,209,1108676,209,1911699,209,1730020,210,1424489,209,1584364,208,1510654,206,2105010,204,1584829,204,1527357,1
1645358400,209,207,2208483,1128553,Nature rune,0,0,0,1,211,209,2208483,209,2091457,210,2017458,209,1108676,209,1911699,209,1730020,210,1424489,209,1584364,209,1677836,207,1191826,206,876407,204,1262022,205,1044560,1
1645380000,209,207,2091457,1514816,Nature rune,0,0,0,1,209,209,2091457,210,2017458,209,1108676,209,1911699,209,1730020,210,1424489,209,1584364,209,1677836,209,2558876,207,1657343,204,2291467,203,2491307,203,1950982,1
1645401600,210,209,2017458,771089,Nature rune,0,0,0,1,209,210,2017458,209,1108676,209,1911699,209,1730020,210,1424489,209,1584364,209,1677836,209,2558876,208,1510654,206,2190522,204,2833867,205,2278374,204,1528448,1
1645423200,209,208,1108676,666585,Nature rune,0,0,0,1,210,209,1108676,209,1911699,209,1730020,210,1424489,209,1584364,209,1677836,209,2558876,208,1510654,207,1191826,206,2105010,204,1584829,204,1527357,205,1873756,1
1645444800,209,208,1911699,962044,Nature rune,0,0,0,1,209,209,1911699,209,1730020,210,1424489,209,1584364,209,1677836,209,2558876,208,1510654,207,1191826,207,1657343,206,876407,204,1262022,205,1044560,207,1476155,1
1645466400,209,207,1730020,1329435,Nature rune,0,0,0,1,209,209,1730020,210,1424489,209,1584364,209,1677836,209,2558876,208,1510654,207,1191826,207,1657343,206,2190522,204,2291467,203,2491307,203,1950982,205,1465978,1
1645488000,210,208,1424489,950211,Nature rune,0,0,0,1,209,210,1424489,209,1584364,209,1677836,209,2558876,208,1510654,207,1191826,207,1657343,206,2190522,206,2105010,204,2833867,205,2278374,204,1528448,207,1544585,1
1645509600,209,208,1584364,521614,Nature rune,0,0,0,1,210,209,1584364,209,1677836,209,2558876,208,1510654,207,1191826,207,1657343,206,2190522,206,2105010,206,876407,204,1584829,204,1527357,205,1873756,208,1215989,1
1645531200,209,206,1677836,878080,Nature rune,0,0,0,1,209,209,1677836,209,2558876,208,1510654,207,1191826,207,1657343,206,2190522,206,2105010,206,876407,204,2291467,204,1262022,205,1044560,207,1476155,207,1062579,1
1645552800,209,205,2558876,1328325,Nature rune,0,0,0,1,209,209,2558876,208,1510654,207,1191826,207,1657343,206,2190522,206,2105010,206,876407,204,2291467,204,2833867,203,2491307,203,1950982,205,1465978,204,2275333,1
1645574400,208,206,1510654,1125919,Nature rune,0,0,0,1,209,208,1510654,207,1191826,207,1657343,206,2190522,206,2105010,206,876407,204,2291467,204,2833867,204,1584829,205,2278374,204,1528448,207,1544585,201,2666581,1
1645596000,207,205,1191826,547467,Nature rune,0,0,0,1,208,207,1191826,207,1657343,206,2190522,206,2105010,206,876407,204,2291467,204,2833867,204,1584829,204,1262022,204,1527357,205,1873756,208,1215989,203,2395993,1
1645617600,207,205,1657343,914552,Nature rune,0,0,0,1,207,207,1657343,206,2190522,206,2105010,206,876407,204,2291467,204,2833867,204,1584829,204,1262022,203,2491307,205,1044560,207,1476155,207,1062579,204,1653514,1
1645639200,206,202,2190522,1243482,Nature rune,0,0,0,1,207,206,2190522,206,2105010,206,876407,204,2291467,204,2833867,204,1584829,204,1262022,203,2491307,205,2278374,203,1950982,205,1465978,204,2275333,203,1586588,1
1645660800,206,203,2105010,895556,Nature rune,0,0,0,1,206,206,2105010,206,876407,204,2291467,204,2833867,204,1584829,204,1262022,203,2491307,205,2278374,204,1527357,204,1528448,207,1544585,201,2666581,202,2488147,1
1645682400,206,205,876407,613635,Nature rune,0,0,0,1,206,206,876407,204,2291467,204,2833867,204,1584829,204,1262022,203,2491307,205,2278374,204,1527357,205,1044560,205,1873756,208,1215989,203,2395993,202,2032289,1
1645704000,204,202,2291467,889595,Nature rune,0,0,0,1,206,204,2291467,204,2833867,204,1584829,204,1262022,203,2491307,205,2278374,204,1527357,205,1044560,203,1950982,207,1476155,207,1062579,204,1653514,203,96097,1
