timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,name
1645293600,209,206,2683042,1163290,Nature rune
1645315200,210,208,1344531,1104010,Nature rune
1645336800,211,209,1442544,586726,Nature rune
1645358400,209,207,2208483,1128553,Nature rune
1645380000,209,207,2091457,1514816,Nature rune
1645401600,210,209,2017458,771089,Nature rune
1645423200,209,208,1108676,666585,Nature rune
1645444800,209,208,1911699,962044,Nature rune
1645466400,209,207,1730020,1329435,Nature rune
1645488000,210,208,1424489,950211,Nature rune
1645509600,209,208,1584364,521614,Nature rune
1645531200,209,206,1677836,878080,Nature rune
1645552800,209,205,2558876,1328325,Nature rune
1645574400,208,206,1510654,1125919,Nature rune
1645596000,207,205,1191826,547467,Nature rune
1645617600,207,205,1657343,914552,Nature rune
1645639200,206,202,2190522,1243482,Nature rune
1645660800,206,203,2105010,895556,Nature rune
1645682400,206,205,876407,613635,Nature rune
1645704000,204,202,2291467,889595,Nature rune
1645725600,204,201,2833867,1378635,Nature rune
1645747200,204,201,1584829,1555951,Nature rune
1645768800,204,203,1262022,666417,Nature rune
1645790400,203,201,2491307,1107061,Nature rune
1645812000,205,202,2278374,1154793,Nature rune
1645833600,204,202,1527357,1132319,Nature rune
1645855200,205,203,1044560,595715,Nature rune
1645876800,203,201,1950982,1232482,Nature rune
1645898400,204,202,1528448,1274574,Nature rune
1645920000,205,203,1873756,1124027,Nature rune
1645941600,207,204,1476155,987566,Nature rune
1645963200,205,203,1465978,1039661,Nature rune
1645984800,207,204,1544585,1421117,Nature rune
1646006400,208,205,1215989,1160679,Nature rune
1646028000,207,205,1062579,612665,Nature rune
1646049600,204,203,2275333,940509,Nature rune
1646071200,201,196,2666581,1219029,Nature rune
1646092800,203,200,2395993,971532,Nature rune
1646114400,204,201,1653514,576738,Nature rune
1646136000,203,202,1586588,815358,Nature rune
1646157600,202,200,2488147,1348353,Nature rune
1646179200,202,199,2032289,1002768,Nature rune
1646200800,203,200,96097,61364,Nature rune
1646222400,203,201,1445601,978901,Nature rune
1646244000,202,200,1915921,1130595,Nature rune
1646265600,202,200,1482981,955650,Nature rune
1646287200,203,201,1317433,740268,Nature rune
1646308800,203,201,1496414,820802,Nature rune
1646330400,202,200,1233137,1440096,Nature rune
1646352000,203,200,1843893,968265,Nature rune
1646373600,204,201,1030782,979001,Nature rune
1646395200,201,198,1976981,615856,Nature rune
1646416800,200,197,2621332,1227892,Nature rune
1646438400,202,199,1900170,1179696,Nature rune
1646460000,204,202,1453784,760636,Nature rune
1646481600,199,196,1503313,544134,Nature rune
1646503200,196,193,1760852,1269400,Nature rune
1646524800,192,190,1129616,295320,Nature rune
1646546400,189,187,1665519,278376,Nature rune
1646568000,190,189,969849,491533,Nature rune
1646589600,194,191,2009398,1237304,Nature rune
1646611200,193,190,1829732,1295239,Nature rune
1646632800,193,190,890647,583391,Nature rune
